dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),1,1,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.514665500002593,0.7366666666666667,0.7528888888888889,0.7366666666666667,0.6626888841137438,0.7866894197952219,0.800382305057299,0.7866894197952219,0.7210322937578608,0.7853974752644148,0.8012350299680838,0.7853974752644148,0.7176301961224402
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),2,2,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.3360246999982337,0.78,0.6084,0.78,0.6835955056179776,0.7607508532423208,0.5787418607089192,0.7607508532423208,0.6573807528114491,0.7608324803821221,0.5788660632044123,0.7608324803821221,0.6574913509986949
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),3,3,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.5103400000007241,0.75,0.5625,0.75,0.6428571428571428,0.7631399317406143,0.8193769783954257,0.7631399317406143,0.6630048485134835,0.7632207437734562,0.8194193770912472,0.7632207437734562,0.6631136362187471
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),4,4,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.33408150000104797,0.7766666666666666,0.603211111111111,0.7766666666666666,0.6790368980612883,0.7607508532423208,0.5787418607089192,0.7607508532423208,0.6573807528114491,0.7608324803821221,0.5788660632044123,0.7608324803821221,0.6574913509986949
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),5,5,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.5069548999999824,0.7466666666666667,0.5575111111111111,0.7466666666666667,0.6383715012722646,0.7648464163822526,0.8203710288266076,0.7648464163822526,0.6669666738089439,0.7649266461958376,0.820413299423336,0.7649266461958376,0.6670741868121942
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),6,6,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.5124240000004647,0.7566666666666667,0.5725444444444445,0.7566666666666667,0.6518532574320051,0.7610921501706485,0.8181885977229004,0.7610921501706485,0.658189823081631,0.7608324803821221,0.5788660632044123,0.7608324803821221,0.6574913509986949
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),7,7,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.5099405000000843,0.72,0.7986622073578595,0.72,0.6061351913853951,0.7655290102389078,0.8207696035056671,0.7655290102389078,0.6685387413311075,0.7666325486182191,0.8214106326076281,0.7666325486182191,0.670989723752353
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),8,8,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.3295136000015191,0.7633333333333333,0.5826777777777778,0.7633333333333333,0.6608821676118463,0.7607508532423208,0.5787418607089192,0.7607508532423208,0.6573807528114491,0.7608324803821221,0.5788660632044123,0.7608324803821221,0.6574913509986949
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),9,9,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.33803220000118017,0.7866666666666666,0.6188444444444444,0.7866666666666666,0.6927363184079602,0.7607508532423208,0.5787418607089192,0.7607508532423208,0.6573807528114491,0.7608324803821221,0.5788660632044123,0.7608324803821221,0.6574913509986949
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),10,10,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.5107572999986587,0.78,0.6084,0.78,0.6835955056179776,0.7610921501706485,0.8181885977229004,0.7610921501706485,0.658189823081631,0.7611736608665984,0.8182311480315749,0.7611736608665984,0.6583001607479323
