dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5665523999996367,1.0,1.0,1.0,1.0,0.7672354948805461,0.7707039750831068,0.7672354948805461,0.7688851729165946,0.7604912998976459,0.7600236031026371,0.7604912998976459,0.7602559618845237
adult,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5533881999981531,1.0,1.0,1.0,1.0,0.7744027303754266,0.7887569483289305,0.7744027303754266,0.78021738577032,0.7679972705561242,0.7814860334632729,0.7679972705561242,0.7735905376246105
adult,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.6123200000001816,1.0,1.0,1.0,1.0,0.7747440273037542,0.7679738733062152,0.7747440273037542,0.7709507666947544,0.761856021835551,0.7568335027767298,0.761856021835551,0.7591612447143932
adult,Sistema Fuzzy de Mamdani,4,4,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",1.707926099999895,1.0,1.0,1.0,1.0,0.7778156996587031,0.7751445211855666,0.7778156996587031,0.7764182951071177,0.779597407028318,0.7718327049753466,0.779597407028318,0.775127600158875
adult,Sistema Fuzzy de Mamdani,5,5,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",1.7120930999990378,1.0,1.0,1.0,1.0,0.7720136518771331,0.7811093965290569,0.7720136518771331,0.775991384811339,0.7734561583077448,0.7732348413025797,0.7734561583077448,0.7733451130936733
adult,Sistema Fuzzy de Mamdani,6,6,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",1.116979699996591,1.0,1.0,1.0,1.0,0.7726962457337884,0.7646281699525441,0.7726962457337884,0.7680873219629183,0.7802797679972705,0.7742983586917791,0.7802797679972705,0.7769491143428862
adult,Sistema Fuzzy de Mamdani,7,7,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5697885999979917,1.0,1.0,1.0,1.0,0.7757679180887372,0.78681399310173,0.7757679180887372,0.780441614855177,0.7656090071647902,0.7696925765570384,0.7656090071647902,0.7675364855532019
adult,Sistema Fuzzy de Mamdani,8,8,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",1.7131729999964591,1.0,1.0,1.0,1.0,0.7662116040955631,0.7638367663789064,0.7662116040955631,0.7649821313027657,0.7731149778232685,0.7719024351038054,0.7731149778232685,0.7724969793061576
adult,Sistema Fuzzy de Mamdani,9,9,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",0.7960815999977058,1.0,1.0,1.0,1.0,0.7982935153583618,0.7928106481065318,0.7982935153583618,0.7951802029993015,0.7809621289662231,0.7721227169421925,0.7809621289662231,0.7757466273965261
adult,Sistema Fuzzy de Mamdani,10,10,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",1.71923660000175,1.0,1.0,1.0,1.0,0.7709897610921501,0.7708778502447674,0.7709897610921501,0.7709337096517379,0.7615148413510747,0.7597772659697593,0.7615148413510747,0.7606249634707882
adult,Sistema Fuzzy de Mamdani,11,11,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.56764000000112,1.0,1.0,1.0,1.0,0.7747440273037542,0.7790279825016664,0.7747440273037542,0.7767478598160189,0.7758444216990789,0.7757348673063086,0.7758444216990789,0.7757895471931017
adult,Sistema Fuzzy de Mamdani,12,12,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5852187999989837,1.0,1.0,1.0,1.0,0.7822525597269625,0.7729311427436539,0.7822525597269625,0.7766765725741652,0.7625383828045036,0.7481120061408375,0.7625383828045036,0.7536108514433301
adult,Sistema Fuzzy de Mamdani,13,13,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.580215699999826,1.0,1.0,1.0,1.0,0.7832764505119454,0.7884279004488367,0.7832764505119454,0.7856366764464527,0.7635619242579325,0.7620680662017557,0.7635619242579325,0.7627990657427384
adult,Sistema Fuzzy de Mamdani,14,14,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",1.108013299999584,1.0,1.0,1.0,1.0,0.7750853242320819,0.7839622590816194,0.7750853242320819,0.7789635626544541,0.7697031729785057,0.7787512509759972,0.7697031729785057,0.773675140158282
adult,Sistema Fuzzy de Mamdani,15,15,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5990004999985103,1.0,1.0,1.0,1.0,0.7812286689419795,0.7775774203393325,0.7812286689419795,0.779280114706263,0.7567383145684067,0.7496528007365985,0.7567383145684067,0.7528466322081345
adult,Sistema Fuzzy de Mamdani,16,16,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.579774699999689,1.0,1.0,1.0,1.0,0.7675767918088737,0.7663339684070691,0.7675767918088737,0.7669438361136905,0.761856021835551,0.7600062178048216,0.761856021835551,0.7609070905560406
adult,Sistema Fuzzy de Mamdani,17,17,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.576012499997887,1.0,1.0,1.0,1.0,0.7641638225255972,0.7670821161982834,0.7641638225255972,0.7655646598730319,0.7659501876492665,0.7659501876492665,0.7659501876492665,0.7659501876492665
adult,Sistema Fuzzy de Mamdani,18,18,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",1.1094177000013588,1.0,1.0,1.0,1.0,0.7651877133105802,0.7684478672897825,0.7651877133105802,0.766744504426613,0.7697031729785057,0.763695792948612,0.7697031729785057,0.7664041869918271
adult,Sistema Fuzzy de Mamdani,19,19,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5830610000011802,1.0,1.0,1.0,1.0,0.7866894197952219,0.778424469843153,0.7866894197952219,0.781801352477462,0.7775503241214603,0.7671994751484914,0.7775503241214603,0.7713102855117908
adult,Sistema Fuzzy de Mamdani,20,20,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",1.5678858999999647,1.0,1.0,1.0,1.0,0.784641638225256,0.7886457431827874,0.784641638225256,0.7865091347296406,0.7830092118730808,0.7830092118730808,0.7830092118730808,0.7830092118730808
adult,Sistema Fuzzy de Mamdani,21,21,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",1.7050736999990477,1.0,1.0,1.0,1.0,0.78839590443686,0.7794258715692334,0.78839590443686,0.7829772335360226,0.7840327533265097,0.7710823426980751,0.7840327533265097,0.775556217019492
bank_marketing,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.614428199998656,1.0,1.0,1.0,1.0,0.852930335422042,0.8301213458413584,0.852930335422042,0.8399669053292821,0.8510873571691854,0.8284900314151491,0.8510873571691854,0.8383637043192063
bank_marketing,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6088841999990109,1.0,1.0,1.0,1.0,0.8673055657943236,0.8369167416131646,0.8673055657943236,0.8478353538525697,0.8698857353483229,0.8351061731291747,0.8698857353483229,0.8466344631495948
bank_marketing,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.6484361000002536,1.0,1.0,1.0,1.0,0.8569848875783266,0.8219424155415086,0.8569848875783266,0.8360003258188807,0.8573534832288979,0.8182271850293267,0.8573534832288979,0.8338613744667713
bank_marketing,Sistema Fuzzy de Mamdani,4,4,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6147479000028397,1.0,1.0,1.0,1.0,0.8566162919277552,0.8287899605534134,0.8566162919277552,0.8402552768800572,0.8477699963140435,0.8262610881685699,0.8477699963140435,0.8358341752700407
bank_marketing,Sistema Fuzzy de Mamdani,5,5,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6171791999986453,1.0,1.0,1.0,1.0,0.8477699963140435,0.8165612589479871,0.8477699963140435,0.8300515401095147,0.8418724659049023,0.8098275265005064,0.8418724659049023,0.8241088266222308
bank_marketing,Sistema Fuzzy de Mamdani,6,6,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.6491277999994054,1.0,1.0,1.0,1.0,0.852930335422042,0.8271072955693148,0.852930335422042,0.8381064458514303,0.8429782528566163,0.8175046950139974,0.8429782528566163,0.8289156922042014
bank_marketing,Sistema Fuzzy de Mamdani,7,7,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6135476999988896,1.0,1.0,1.0,1.0,0.8621452266863251,0.8334577301789492,0.8621452266863251,0.8446472859428935,0.8573534832288979,0.8335319613050931,0.8573534832288979,0.843527264294427
bank_marketing,Sistema Fuzzy de Mamdani,8,8,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6079826999994111,1.0,1.0,1.0,1.0,0.8724659049023221,0.833066452226475,0.8724659049023221,0.844546346066301,0.8720973092517508,0.8363236810317969,0.8720973092517508,0.8473625331950415
bank_marketing,Sistema Fuzzy de Mamdani,9,9,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.6343641999992542,1.0,1.0,1.0,1.0,0.8492443789163288,0.8300982771427252,0.8492443789163288,0.8386439137500391,0.8628824179874678,0.8371006081115825,0.8628824179874678,0.8473231260564079
bank_marketing,Sistema Fuzzy de Mamdani,10,10,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.6368407000009029,1.0,1.0,1.0,1.0,0.850718761518614,0.8341719634256141,0.850718761518614,0.8416181935108433,0.8470328050129009,0.8298705084826434,0.8470328050129009,0.8376692058331717
bank_marketing,Sistema Fuzzy de Mamdani,11,11,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.605576400001155,1.0,1.0,1.0,1.0,0.8440840398083302,0.8203709100440637,0.8440840398083302,0.8309765847302284,0.8429782528566163,0.8175046950139974,0.8429782528566163,0.8289156922042014
bank_marketing,Sistema Fuzzy de Mamdani,12,12,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.6414151999997557,1.0,1.0,1.0,1.0,0.8411352746037597,0.8305569572838144,0.8411352746037597,0.8355686944798859,0.8396608920014744,0.8229829922784676,0.8396608920014744,0.8307211783643447
bank_marketing,Sistema Fuzzy de Mamdani,13,13,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.654239299998153,1.0,1.0,1.0,1.0,0.8459270180611869,0.8313287160346625,0.8459270180611869,0.8380540396443751,0.8400294876520457,0.8256660386503405,0.8400294876520457,0.8323814064249371
bank_marketing,Sistema Fuzzy de Mamdani,14,14,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",0.4497431999989203,1.0,1.0,1.0,1.0,0.8577220788794693,0.8353011045268135,0.8577220788794693,0.8447395288644575,0.8488757832657574,0.825280860541057,0.8488757832657574,0.8356535790892219
bank_marketing,Sistema Fuzzy de Mamdani,15,15,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6145176999998512,1.0,1.0,1.0,1.0,0.8492443789163288,0.8266277516625677,0.8492443789163288,0.8365707403183531,0.8569848875783266,0.8303680557469167,0.8569848875783266,0.841402426032014
bank_marketing,Sistema Fuzzy de Mamdani,16,16,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6109187000001839,1.0,1.0,1.0,1.0,0.8544047180243273,0.8309586071484995,0.8544047180243273,0.8409676070864286,0.854036122373756,0.8301197969047359,0.854036122373756,0.8403531879687214
bank_marketing,Sistema Fuzzy de Mamdani,17,17,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6078014999984589,1.0,1.0,1.0,1.0,0.8610394397346112,0.8316993131563067,0.8610394397346112,0.843234848416327,0.8621452266863251,0.8264515368121078,0.8621452266863251,0.840004398270018
bank_marketing,Sistema Fuzzy de Mamdani,18,18,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",0.4664918000016769,1.0,1.0,1.0,1.0,0.8669369701437523,0.8311915559067492,0.8669369701437523,0.8436518898050688,0.8599336527828971,0.8276149327942534,0.8599336527828971,0.8403548096103441
bank_marketing,Sistema Fuzzy de Mamdani,19,19,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",0.4525190000022121,1.0,1.0,1.0,1.0,0.8614080353851824,0.8385278447168477,0.8614080353851824,0.8478853072932888,0.8614080353851824,0.8356355748606678,0.8614080353851824,0.8459958241248698
bank_marketing,Sistema Fuzzy de Mamdani,20,20,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",0.6398325000009208,1.0,1.0,1.0,1.0,0.8661997788426097,0.8278106503282351,0.8661997788426097,0.8412451259561226,0.8709915223000368,0.8274383655298199,0.8709915223000368,0.8408825492465929
bank_marketing,Sistema Fuzzy de Mamdani,21,21,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",0.6115620999989915,1.0,1.0,1.0,1.0,0.8606708440840398,0.8334057574201148,0.8606708440840398,0.8442936495657356,0.8536675267231847,0.8308980700815806,0.8536675267231847,0.8407137361914098
