dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",2.5365532000141684,1.0,1.0,1.0,1.0,0.423013923013923,0.4213839788094795,0.423013923013923,0.4221320183306042,0.4298290510799468,0.4274432042295202,0.42982905107994684,0.4285506593897561
adult,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",3.5479593999916688,1.0,1.0,1.0,1.0,0.42311629811629814,0.42343024158279113,0.42311629811629814,0.42315029285460193,0.42931722796601496,0.42846224826492424,0.42931722796601496,0.42876428821108514
adult,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",5.4847976000164635,1.0,1.0,1.0,1.0,0.42782555282555285,0.42487944202587863,0.42782555282555285,0.42625798417975186,0.43044323881666496,0.4284169324844685,0.43044323881666496,0.4293516551904587
adult,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",5.003024599980563,1.0,1.0,1.0,1.0,0.447993447993448,0.43855222657019144,0.447993447993448,0.4425517019006957,0.4341283652369741,0.42262778680275587,0.4341283652369741,0.4274112656397393
adult,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",2.5364730000146665,1.0,1.0,1.0,1.0,0.4191236691236691,0.4273567732950691,0.4191236691236691,0.4216768822052163,0.4253250076773467,0.4293270156979933,0.4253250076773467,0.4262766463963727
adult,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",3.5857888000027742,1.0,1.0,1.0,1.0,0.41973791973791974,0.4276500262946993,0.41973791973791974,0.42219247741954435,0.42665574777356946,0.43029849546737403,0.42665574777356946,0.42744987859837286
adult,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",5.6371962999983225,1.0,1.0,1.0,1.0,0.41850941850941853,0.4234373715905866,0.41850941850941853,0.4192668338321965,0.4278841232470058,0.42997440972296097,0.4278841232470058,0.42756238280940834
adult,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",5.0501956999942195,1.0,1.0,1.0,1.0,0.4262899262899263,0.4373544944357007,0.4262899262899263,0.43063167674214714,0.43115979117616954,0.4402246377852048,0.43115979117616954,0.43468473127813523
adult,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",2.5618164999759756,1.0,1.0,1.0,1.0,0.41482391482391484,0.42417228741711105,0.41482391482391484,0.4187311431204259,0.4185689425734466,0.4238794754494318,0.4185689425734466,0.4206692449964789
adult,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",3.5760753999929875,1.0,1.0,1.0,1.0,0.4139025389025389,0.4234228343931978,0.4139025389025389,0.4180604164048755,0.4191831303101648,0.42442966629387363,0.4191831303101648,0.4213830565296963
adult,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",5.620358599990141,1.0,1.0,1.0,1.0,0.41267403767403765,0.42171632416094884,0.41267403767403765,0.41652753445370044,0.4177500255911557,0.42351520415639626,0.4177500255911557,0.41998961944332813
adult,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",4.9872317999834195,1.0,1.0,1.0,1.0,0.43622031122031124,0.439678129849458,0.43622031122031124,0.43753882393829324,0.4418057119459515,0.4417096086449791,0.4418057119459515,0.4416352862184451
