dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",4.176863500004401,0.5805493943013138,0.5714632618388886,0.5805493943013138,0.48395528349654904,0.5586609336609336,0.47450662731661325,0.5586609336609336,0.4588037406655143,0.5675094687276078,0.4877031526169367,0.5675094687276078,0.46862029098256675
adult,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",39.43911169999046,0.5840982767445828,0.5707641814273718,0.5840982767445828,0.49824134982889595,0.5582514332514332,0.48888947999163607,0.5582514332514332,0.46643926388995893,0.5635172484389395,0.4908296988608654,0.5635172484389395,0.4730177628602552
adult,MLP (Perceptron Multicamadas),3,3,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",13.254536399996141,0.574884831939942,0.543789595767162,0.574884831939942,0.48182184960106583,0.5564086814086814,0.4796413160400941,0.5564086814086814,0.4605734414637219,0.5622888729655031,0.4774073764654034,0.5622888729655031,0.4670534340576018
adult,MLP (Perceptron Multicamadas),4,4,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",7.326951199996984,0.5789796962975602,0.5615638077418337,0.5789796962975602,0.4840941093268675,0.5582514332514332,0.4803163920466426,0.5582514332514332,0.46188700552420425,0.5647456239123759,0.48614182274670736,0.5647456239123759,0.46729636594264773
adult,MLP (Perceptron Multicamadas),5,5,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",3.1442894999927375,0.5687425354035147,0.5180256596405044,0.5687425354035147,0.46333340407590806,0.5596846846846847,0.4899851045622518,0.5596846846846847,0.45674374229319414,0.5688402088238305,0.5012859965880503,0.5688402088238305,0.4626163716712481
adult,MLP (Perceptron Multicamadas),6,6,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",48.27582129999064,0.5761474151168743,0.5528787001313127,0.5761474151168743,0.480605229694941,0.558968058968059,0.4936290514718948,0.558968058968059,0.46288021771990506,0.5648479885351623,0.4761717606519578,0.5648479885351623,0.46590045051903656
adult,MLP (Perceptron Multicamadas),7,7,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",23.03739990000031,0.586316328271626,0.5706164101292752,0.586316328271626,0.5083215359741061,0.5493447993447993,0.47855121625804353,0.5493447993447993,0.4669444438854506,0.5570682772033985,0.4842435697258555,0.5570682772033985,0.47525005081614435
adult,MLP (Perceptron Multicamadas),8,8,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",12.071687099989504,0.5740999829380652,0.5453184601752702,0.5740999829380652,0.48623444850324915,0.5575348075348076,0.4921612679071045,0.5575348075348076,0.46772489507122467,0.562800696079435,0.48003087497138375,0.562800696079435,0.4697664351447861
adult,MLP (Perceptron Multicamadas),9,9,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",51.78350489999866,0.5830745606551783,0.5746463158457792,0.5830745606551783,0.49156393026966916,0.5564086814086814,0.4850591024032732,0.5564086814086814,0.46360483430261284,0.5633125191933668,0.4908491887778458,0.5633125191933668,0.46867404234890975
adult,MLP (Perceptron Multicamadas),10,10,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",18.587608999980148,0.5807882613888415,0.5625272222090457,0.5807882613888415,0.4921222777960244,0.5524160524160524,0.4765499638775418,0.5524160524160524,0.46220816630110406,0.5635172484389395,0.49151816606139487,0.5635172484389395,0.4708002849750642
adult,MLP (Perceptron Multicamadas),11,11,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",31.567675500002224,0.5817096058693055,0.5617577534463206,0.5817096058693055,0.49706995775822244,0.5540540540540541,0.4777618138249142,0.5540540540540541,0.46509880922761604,0.5625959668338623,0.486418388455324,0.5625959668338623,0.47237894619352366
adult,MLP (Perceptron Multicamadas),12,12,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",9.687554600008298,0.5900358300631292,0.5927091406046334,0.5900358300631292,0.5055266425470298,0.5558968058968059,0.4837906661506731,0.5558968058968059,0.46710210817462405,0.5620841437199304,0.4905501503782409,0.5620841437199304,0.47103762471068356
adult,MLP (Perceptron Multicamadas),13,13,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",7.208488299977034,0.583313427742706,0.5623517513817108,0.583313427742706,0.4892120726431914,0.5558968058968059,0.48297870930698805,0.5558968058968059,0.45889593623222474,0.5625959668338623,0.4828282332663749,0.5625959668338623,0.4668557033673046
adult,MLP (Perceptron Multicamadas),14,14,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",3.5627098999975715,0.5784678382528579,0.5608378062974955,0.5784678382528579,0.4853173746192965,0.5588656838656839,0.48184521383405804,0.5588656838656839,0.4638103367662017,0.5621865083427168,0.47273022271922,0.5621865083427168,0.46640991691127953
adult,MLP (Perceptron Multicamadas),15,15,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",7.964857800019672,0.578809076949326,0.5422610708570317,0.578809076949326,0.48698296000717367,0.5577395577395577,0.4788049920309604,0.5577395577395577,0.4640652733496385,0.563926706930085,0.5007930568650792,0.563926706930085,0.4709828276126183
adult,MLP (Perceptron Multicamadas),16,16,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",3.2474685000197496,0.5727691520218393,0.5434621237241664,0.5727691520218393,0.4784739594677147,0.5578419328419328,0.48548932521734345,0.5578419328419328,0.4613946650227795,0.5653598116490941,0.4917056341627584,0.5653598116490941,0.46980987262764484
adult,MLP (Perceptron Multicamadas),17,17,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",10.7059031999961,0.5832110561337656,0.5757971953626335,0.5832110561337656,0.49512883737956964,0.5551801801801802,0.4789146208857588,0.5551801801801802,0.4628038570328279,0.5636196130617259,0.4934435244717497,0.5636196130617259,0.4730190913575499
adult,MLP (Perceptron Multicamadas),18,18,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",9.888993200002005,0.58948984814878,0.5791693937457119,0.58948984814878,0.5087761556516638,0.5529279279279279,0.47944488356237003,0.5529279279279279,0.46683588410108884,0.5594226635274849,0.47955729316776446,0.5594226635274849,0.4711178081914322
adult,MLP (Perceptron Multicamadas),19,19,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",12.512968099996215,0.5790479440368538,0.5737671801278682,0.5790479440368538,0.4786244630935345,0.5607084357084358,0.4770031970843206,0.5607084357084358,0.45904103382852396,0.5663834578769578,0.48900434078431837,0.5663834578769578,0.4624256718950449
adult,MLP (Perceptron Multicamadas),20,20,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",11.574986100022215,0.5836205425695273,0.575833453496829,0.5836205425695273,0.49906410014381414,0.553951678951679,0.48669406324243786,0.553951678951679,0.46649278527227656,0.5607534036237076,0.47548354877929827,0.5607534036237076,0.4673906478416567
adult,MLP (Perceptron Multicamadas),21,21,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",9.863219499995466,0.5785702098617983,0.5634215967534937,0.5785702098617983,0.48543956479865236,0.5586609336609336,0.48601718374518205,0.5586609336609336,0.4629581066206051,0.5642338007984441,0.49427289740423913,0.5642338007984441,0.468882380096222
bank_marketing,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",2.9182781999988947,0.9082061490820615,0.899096390639928,0.9082061490820615,0.9017329178401161,0.9052200840522009,0.8954745305739727,0.9052200840522009,0.8984025852171567,0.9023554130266505,0.8910277463845676,0.9023554130266505,0.8941752021065803
bank_marketing,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",5.048047799995402,0.9156528791565288,0.9092898230405178,0.9156528791565288,0.9113900070285588,0.9035611590356116,0.8962198034214455,0.9035611590356116,0.8990246679802673,0.9032400751962845,0.8947073693795005,0.9032400751962845,0.8977408755917583
bank_marketing,MLP (Perceptron Multicamadas),3,3,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",3.537603999982821,0.9135515741355157,0.9062203957011694,0.9135515741355157,0.9084641355634039,0.9015704490157045,0.8931026880818363,0.9015704490157045,0.8962148349944673,0.9011390025434037,0.8911800286015636,0.9011390025434037,0.8945083182313214
bank_marketing,MLP (Perceptron Multicamadas),4,4,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",4.649006599996937,0.9232470692324707,0.9190606953640779,0.9232470692324707,0.9206128805316222,0.900353904003539,0.8947463046938982,0.900353904003539,0.8971369407775714,0.9020236647130377,0.8955932600621902,0.9020236647130377,0.8982113108019548
bank_marketing,MLP (Perceptron Multicamadas),5,5,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",20.173386100010248,0.930804394308044,0.927546948149735,0.930804394308044,0.9287469065983697,0.9011280690112807,0.8958269518574323,0.9011280690112807,0.8981026271544067,0.9001437576025655,0.8935861594141001,0.9001437576025655,0.8962831355981241
bank_marketing,MLP (Perceptron Multicamadas),6,6,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",4.780782099987846,0.9169062891690629,0.9107034605627599,0.9169062891690629,0.9127213341100068,0.9022340190223402,0.8935373059157061,0.9022340190223402,0.8966512646090867,0.9055623133915736,0.8970263313451835,0.9055623133915736,0.8999121692295101
bank_marketing,MLP (Perceptron Multicamadas),7,7,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",20.217601500015007,0.9270441642704417,0.9227204748009536,0.9270441642704417,0.9241496223541993,0.9033399690333996,0.8974966131016672,0.9033399690333996,0.8999135282827823,0.9011390025434037,0.89347103240006,0.9011390025434037,0.8964372482820093
bank_marketing,MLP (Perceptron Multicamadas),8,8,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",4.833052800007863,0.9179016441790164,0.91235749853046,0.9179016441790164,0.9142845443384797,0.9033399690333996,0.8962978381230216,0.9033399690333996,0.8990418328890483,0.9024659957978547,0.8940480919464662,0.9024659957978547,0.89710674931231
bank_marketing,MLP (Perceptron Multicamadas),9,9,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",3.61746249999851,0.91753299417533,0.9133838731545841,0.91753299417533,0.9150546205920695,0.9046671090466711,0.8993297410971525,0.9046671090466711,0.9015663481008969,0.9034612407386929,0.8974575817395123,0.9034612407386929,0.899920303938812
bank_marketing,MLP (Perceptron Multicamadas),10,10,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",4.433368099998916,0.915210499152105,0.9076583512376861,0.915210499152105,0.909696554867211,0.902676399026764,0.893553854626266,0.902676399026764,0.8966930130703299,0.9061152272475949,0.8962311221745511,0.9061152272475949,0.8990341536388307
bank_marketing,MLP (Perceptron Multicamadas),11,11,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",3.3753184999804944,0.9114134041141341,0.9049178557497379,0.9114134041141341,0.9072522581493873,0.9033399690333996,0.8957834185538917,0.9033399690333996,0.8986423981867538,0.9062258100187991,0.8979496340454012,0.9062258100187991,0.9007690617776466
bank_marketing,MLP (Perceptron Multicamadas),12,12,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",3.236775500001386,0.9169062891690629,0.9095002756710051,0.9169062891690629,0.911346581279791,0.9017916390179164,0.8929107749023254,0.9017916390179164,0.8960769569223279,0.9030189096538759,0.893052579997848,0.9030189096538759,0.8962104471283513
bank_marketing,MLP (Perceptron Multicamadas),13,13,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",4.945928800007096,0.9109710241097102,0.9061096686938429,0.9109710241097102,0.9080956981773488,0.900575094005751,0.8947666800174723,0.900575094005751,0.8972206489561408,0.9013601680858122,0.8946648999790331,0.9013601680858122,0.8973739239381042
bank_marketing,MLP (Perceptron Multicamadas),14,14,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",4.2068696999922395,0.9202241392022414,0.9144314293720607,0.9202241392022414,0.9162342288533787,0.9038929440389294,0.8967461300078305,0.9038929440389294,0.8994960938579591,0.9014707508570164,0.8922027216677125,0.9014707508570164,0.8954403387190272
bank_marketing,MLP (Perceptron Multicamadas),15,15,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",5.378773300006287,0.9221779842217799,0.9159673074939996,0.9221779842217799,0.9174987542625708,0.9028975890289759,0.8937478965402741,0.9028975890289759,0.8968741072195906,0.9030189096538759,0.8928860101408548,0.9030189096538759,0.8960429726639673
bank_marketing,MLP (Perceptron Multicamadas),16,16,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",3.8349493999849074,0.9214038192140382,0.9160358716143964,0.9214038192140382,0.9177728843401938,0.9041141340411414,0.8964878291487259,0.9041141340411414,0.8993288145710788,0.9042353201371226,0.8965297229073765,0.9042353201371226,0.8993804827912288
bank_marketing,MLP (Perceptron Multicamadas),17,17,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",5.223748299991712,0.9198186241981863,0.9125277486543559,0.9198186241981863,0.9138624925387859,0.9021234240212342,0.8925305043237306,0.9021234240212342,0.8957518914251105,0.9016919163994249,0.8901713279934814,0.9016919163994249,0.8933963709469231
bank_marketing,MLP (Perceptron Multicamadas),18,18,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",6.133669800008647,0.9280395192803952,0.9275741796309867,0.9280395192803952,0.9278013118155758,0.8984737889847378,0.8974824537306005,0.8984737889847378,0.8979676034111509,0.8964945261528254,0.8933419884539204,0.8964945261528254,0.8948116037906847
bank_marketing,MLP (Perceptron Multicamadas),19,19,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",7.173245499987388,0.9197817591978176,0.9130797672678369,0.9197817591978176,0.9147591096615757,0.9040035390400354,0.8940177708737621,0.9040035390400354,0.897070787052512,0.9018024991706293,0.890758497825546,0.9018024991706293,0.8940188857549854
bank_marketing,MLP (Perceptron Multicamadas),20,20,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",3.3413440999865998,0.9171643441716434,0.9102810345026598,0.9171643441716434,0.9122290978572862,0.9042247290422473,0.8962130200938445,0.9042247290422473,0.8991158289004709,0.9034612407386929,0.893792691537726,0.9034612407386929,0.8969042185720152
bank_marketing,MLP (Perceptron Multicamadas),21,21,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",6.779713500000071,0.9148049841480499,0.9104399455083558,0.9148049841480499,0.9122174459065178,0.900353904003539,0.8943850717423366,0.900353904003539,0.8968948038772123,0.9040141545947141,0.8971035074106629,0.9040141545947141,0.8997949824438833
heart_disease,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",0.09186099999351427,0.6574585635359116,0.6146411624312176,0.6574585635359116,0.6217406581852697,0.6065573770491803,0.5651763537009439,0.6065573770491803,0.581895937277263,0.5737704918032787,0.5150273224043717,0.5737704918032787,0.5353437280294258
heart_disease,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.07463829999323934,0.6243093922651933,0.5838684219483176,0.6243093922651933,0.5999250855904712,0.6557377049180327,0.6274525110590684,0.6557377049180327,0.6391513982642236,0.6065573770491803,0.5527532576712905,0.6065573770491803,0.5529090324654452
heart_disease,MLP (Perceptron Multicamadas),3,3,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.05960330000380054,0.6298342541436464,0.6444505068876221,0.6298342541436464,0.6184519870531991,0.6065573770491803,0.6481931958399435,0.6065573770491803,0.6156201320376827,0.5409836065573771,0.5242518865469685,0.5409836065573771,0.5271745419479267
heart_disease,MLP (Perceptron Multicamadas),4,4,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",0.07500700000673532,0.8342541436464088,0.8465445105586454,0.8342541436464088,0.832897295412281,0.6229508196721312,0.6255122950819673,0.6229508196721312,0.6237074401008827,0.4918032786885246,0.45992714025500914,0.4918032786885246,0.47474642250123367
heart_disease,MLP (Perceptron Multicamadas),5,5,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.0733419000171125,0.6740331491712708,0.6502305451711227,0.6740331491712708,0.6537425814265816,0.6557377049180327,0.6481579411246253,0.6557377049180327,0.6463707937877481,0.5573770491803278,0.5568045797553995,0.5573770491803278,0.5483124397299903
heart_disease,MLP (Perceptron Multicamadas),6,6,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",0.08533060000627302,0.6906077348066298,0.647030215293961,0.6906077348066298,0.6619137623063183,0.5901639344262295,0.591113643669092,0.5901639344262295,0.5864522825299838,0.5901639344262295,0.5736649784530631,0.5901639344262295,0.5514883667246251
heart_disease,MLP (Perceptron Multicamadas),7,7,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",0.06800829997519031,0.5414364640883977,0.5519491027702463,0.5414364640883977,0.5370795781846859,0.5737704918032787,0.6728613152440175,0.5737704918032787,0.5941340832826093,0.47540983606557374,0.474766955962713,0.47540983606557374,0.4693446940802256
heart_disease,MLP (Perceptron Multicamadas),8,8,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.07559490000130609,0.6685082872928176,0.6375328961909578,0.6685082872928176,0.6417253028290968,0.6229508196721312,0.5852849336455894,0.6229508196721312,0.5989287066787955,0.5901639344262295,0.5079234972677595,0.5901639344262295,0.5400375769855696
heart_disease,MLP (Perceptron Multicamadas),9,9,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",0.07455140000092797,0.5966850828729282,0.532620970190031,0.5966850828729282,0.5325845877499134,0.6885245901639344,0.6140343862455019,0.6885245901639344,0.6273004404151945,0.5573770491803278,0.4447606339523991,0.5573770491803278,0.49123539101105973
heart_disease,MLP (Perceptron Multicamadas),10,10,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.0636567999899853,0.574585635359116,0.5835173569282321,0.574585635359116,0.5682558968032789,0.5409836065573771,0.6639799635701276,0.5409836065573771,0.5861011013551236,0.4098360655737705,0.48681168558217736,0.4098360655737705,0.43447597336287647
heart_disease,MLP (Perceptron Multicamadas),11,11,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",0.08008049998898059,0.6519337016574586,0.6075633830498111,0.6519337016574586,0.6185872138910813,0.6721311475409836,0.6819614811418091,0.6721311475409836,0.6700612684219243,0.5573770491803278,0.5017234131988231,0.5573770491803278,0.5254098360655738
heart_disease,MLP (Perceptron Multicamadas),12,12,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.07136579998768866,0.6353591160220995,0.589543188249562,0.6353591160220995,0.5956851078723032,0.6721311475409836,0.6608834244080145,0.6721311475409836,0.6638379942140791,0.5901639344262295,0.549561570720549,0.5901639344262295,0.5420575469971501
heart_disease,MLP (Perceptron Multicamadas),13,13,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.07651909999549389,0.6685082872928176,0.6254265919117858,0.6685082872928176,0.6413230683959086,0.639344262295082,0.6020036429872495,0.639344262295082,0.6187811831789024,0.6229508196721312,0.5663112532764671,0.6229508196721312,0.5813522334737378
heart_disease,MLP (Perceptron Multicamadas),14,14,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",0.08348450000630692,0.6464088397790055,0.6412034693034238,0.6464088397790055,0.6340813074784192,0.6229508196721312,0.6502522068095837,0.6229508196721312,0.6317720530835285,0.5737704918032787,0.5268190969226345,0.5737704918032787,0.5407597303525428
