dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",2.165924000000814,0.8812421795017632,0.87804096852877,0.8812421795017632,0.8789046336697626,0.8505119453924914,0.8464906485852945,0.8505119453924914,0.8479945997156098,0.8464687819856704,0.8403976137078873,0.8464687819856704,0.8420673307849069
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",3.1615455000028305,0.8518939824820839,0.844944313324432,0.8518939824820839,0.8452676663675456,0.8556313993174062,0.8492092128489803,0.8556313993174062,0.8496760495826976,0.8430569771409075,0.8347764716189067,0.8430569771409075,0.8348845414229574
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",4.215621799998189,0.8782846092594699,0.8741085748041074,0.8782846092594699,0.8742122240270935,0.8498293515358362,0.843199599929619,0.8498293515358362,0.8443811661135368,0.8437393381098601,0.8355467859861085,0.8437393381098601,0.8356024347211184
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",2.397409000001062,0.861335456717097,0.8560644317678475,0.861335456717097,0.8570906909459172,0.8580204778156997,0.8536492139332342,0.8580204778156997,0.8550590249630288,0.8474923234390993,0.8408133586172056,0.8474923234390993,0.8422056016390232
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",3.7285307999991346,0.8829484700261632,0.8792028849537107,0.8829484700261632,0.8794384567953171,0.8416382252559726,0.8344572072255118,0.8416382252559726,0.8360983989312911,0.8396451722961447,0.8315055200275299,0.8396451722961447,0.8327575898487288
adult,MLP (Perceptron Multicamadas),1,1,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.01}",2.8425438000012946,0.8536002730064839,0.8500879234790163,0.8536002730064839,0.8514508857393867,0.8546075085324232,0.8517943951213623,0.8546075085324232,0.8529625993070308,0.8440805185943364,0.8384315193732744,0.8440805185943364,0.8402279776654816
adult,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.001}",1.3720323999987158,0.8652030485724036,0.8601577510396138,0.8652030485724036,0.8609920725185036,0.857679180887372,0.8530082325160364,0.857679180887372,0.8544178623729625,0.844762879563289,0.8373756562309784,0.844762879563289,0.8385664764332939
adult,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",3.6478639999986626,0.8665680809919235,0.8612809588028205,0.8665680809919235,0.861424125827689,0.8539249146757679,0.8473882675961508,0.8539249146757679,0.8480463417682137,0.8468099624701467,0.8390866544390695,0.8468099624701467,0.8392170851220596
adult,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100, 50], ""learning_rate_init"": 0.001}",3.8913573999998334,0.8744170174041633,0.8699427453797949,0.8744170174041633,0.8702152292765524,0.8532423208191127,0.8476132975666759,0.8532423208191127,0.8490357872838904,0.8498805868304333,0.8425397735462908,0.8498805868304333,0.8424932049569922
adult,MLP (Perceptron Multicamadas),2,2,"{""activation"": ""tanh"", ""hidden_layer_sizes"": [100], ""learning_rate_init"": 0.001}",2.253185699999449,0.8581503810715504,0.8520892158144884,0.8581503810715504,0.8526506110938106,0.8573378839590444,0.8519120114372825,0.8573378839590444,0.8531603889317445,0.8427157966564313,0.8345288204807116,0.8427157966564313,0.8350315548898974
