dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.754202799998893,0.8217495165510181,0.8103347528454881,0.8217495165510181,0.8116719402246643,0.8249146757679181,0.813675546487532,0.8249146757679181,0.8143075348616213,0.8239508700102354,0.812104813946634,0.8239508700102354,0.8115640568440742
adult,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.7761587999993935,0.8222045273575247,0.8109359364537346,0.8222045273575247,0.812327915266459,0.825938566552901,0.8150168958696351,0.825938566552901,0.8158527613260173,0.8263391334015694,0.8151947380213653,0.8263391334015694,0.8154181614692186
adult,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.037388400000054,0.8166306449778182,0.8036679571324669,0.8166306449778182,0.8044201636288949,0.8215017064846416,0.8092262804439181,0.8215017064846416,0.8090159974816002,0.8239508700102354,0.8119702924434843,0.8239508700102354,0.8102651083688148
adult,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.756787999998778,0.8247070867933114,0.8131251183610826,0.8247070867933114,0.8129193581572288,0.825938566552901,0.8144285272628791,0.825938566552901,0.8132710484635057,0.8229273285568065,0.8107452558289235,0.8229273285568065,0.8093834173119928
adult,Bernoulli RBM + Regressão Logística,5,5,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.763990499999636,0.8209532476396314,0.8097238261266734,0.8209532476396314,0.8114220825827685,0.8228668941979522,0.8116388882185102,0.8228668941979522,0.8129325416752958,0.8191743432275674,0.8068419691051364,0.8191743432275674,0.8077330946468011
adult,Bernoulli RBM + Regressão Logística,6,6,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.777583600000071,0.8242520759868047,0.8127520136467099,0.8242520759868047,0.8130742406595155,0.8242320819112628,0.8126412666698852,0.8242320819112628,0.8127714789102363,0.827021494370522,0.8157053164392966,0.827021494370522,0.8143604873641681
adult,Bernoulli RBM + Regressão Logística,7,7,"{""learning_rate"": 0.01, ""n_components"": 128, ""n_iter"": 20}",6.571681699999317,0.8197019679217381,0.8076496177203633,0.8197019679217381,0.8087415147031906,0.8228668941979522,0.8110065661692417,0.8228668941979522,0.8111787344313368,0.8280450358239508,0.816940428764375,0.8280450358239508,0.8156687402726586
adult,Bernoulli RBM + Regressão Logística,8,8,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.1351448000023083,0.8134455693322716,0.7999087330629483,0.8134455693322716,0.800974071689907,0.8242320819112628,0.8123816408836734,0.8242320819112628,0.8113687378252267,0.8205390651654725,0.8078361379170969,0.8205390651654725,0.8065880755852647
adult,Bernoulli RBM + Regressão Logística,9,9,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.7448588000006566,0.8228870435672847,0.8110813385514316,0.8228870435672847,0.8113474046407466,0.8245733788395905,0.8129596003820064,0.8245733788395905,0.8127908598625146,0.8229273285568065,0.8107728372867373,0.8229273285568065,0.809676339383532
adult,Bernoulli RBM + Regressão Logística,10,10,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.744305299998814,0.8250483448981913,0.8136371953402329,0.8250483448981913,0.8137629969191446,0.8273037542662116,0.8161284345890927,0.8273037542662116,0.8154308374632658,0.8242920504947117,0.8124408439670888,0.8242920504947117,0.8114312642851017
adult,Bernoulli RBM + Regressão Logística,11,11,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.758746199997404,0.8243658286884313,0.8130015422581418,0.8243658286884313,0.8135774045180484,0.8255972696245734,0.8142709385471537,0.8255972696245734,0.8143614812421686,0.8249744114636642,0.813232676761314,0.8249744114636642,0.8118766129166705
adult,Bernoulli RBM + Regressão Logística,12,12,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.732283199999074,0.823797065180298,0.8125293855705095,0.823797065180298,0.8134848053266256,0.8255972696245734,0.814421613073713,0.8255972696245734,0.8148986726276387,0.8222449675878539,0.8101259264612033,0.8222449675878539,0.8099516342398706
adult,Bernoulli RBM + Regressão Logística,13,13,"{""learning_rate"": 0.01, ""n_components"": 128, ""n_iter"": 20}",6.476980799998273,0.8203844841314981,0.8082980377623928,0.8203844841314981,0.8090991707868105,0.8242320819112628,0.8125739245270103,0.8242320819112628,0.8124959154339972,0.8290685772773797,0.8181670834589544,0.8290685772773797,0.8158520636132169
adult,Bernoulli RBM + Regressão Logística,14,14,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.734776299999794,0.8239108178819247,0.8123093586078013,0.8239108178819247,0.8125520931279815,0.8273037542662116,0.816170286845894,0.8273037542662116,0.8157046207985066,0.824633230979188,0.8127963462985612,0.824633230979188,0.8105574983701249
adult,Bernoulli RBM + Regressão Logística,15,15,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.1293914999987464,0.8184506882038448,0.8059187038587065,0.8184506882038448,0.8066927063893572,0.8255972696245734,0.8140144083352683,0.8255972696245734,0.8128338350071667,0.8225861480723302,0.8103166306329294,0.8225861480723302,0.8087942952553947
adult,Bernoulli RBM + Regressão Logística,16,16,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.754667799999879,0.825844613809578,0.8150127181680402,0.825844613809578,0.8159985580625149,0.8242320819112628,0.8130341827871532,0.8242320819112628,0.8139815792365168,0.8239508700102354,0.8120817421593698,0.8239508700102354,0.8114222960599491
adult,Bernoulli RBM + Regressão Logística,17,17,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.7895190000017465,0.8250483448981913,0.8138200947876356,0.8250483448981913,0.8143907234385297,0.8279863481228669,0.8170733015021723,0.8279863481228669,0.8169712211370596,0.8239508700102354,0.8120415695550759,0.8239508700102354,0.8111368678826931
adult,Bernoulli RBM + Regressão Logística,18,18,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.8077669000012975,0.8252758503014447,0.8140548885778721,0.8252758503014447,0.8145433247018926,0.8255972696245734,0.8143058450683648,0.8255972696245734,0.8144966776974709,0.8229273285568065,0.8109634366401872,0.8229273285568065,0.8108221892311831
adult,Bernoulli RBM + Regressão Logística,19,19,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.037179299997661,0.8175406665908316,0.8052041425019016,0.8175406665908316,0.8065642206321761,0.8235494880546075,0.811806612870628,0.8235494880546075,0.8119063693660908,0.8242920504947117,0.8124408439670888,0.8242920504947117,0.8114312642851017
adult,Bernoulli RBM + Regressão Logística,20,20,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.105212000002211,0.8186781936070981,0.8065773746187944,0.8186781936070981,0.8079072292937726,0.822184300341297,0.8100981378291792,0.822184300341297,0.8100301304527593,0.8219037871033776,0.8096760245738769,0.8219037871033776,0.809372941225982
adult,Bernoulli RBM + Regressão Logística,21,21,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.771324800000002,0.8240245705835514,0.8120873152443631,0.8240245705835514,0.8103323531807577,0.8249146757679181,0.8131580467644657,0.8249146757679181,0.811524654139046,0.824633230979188,0.8128268353456433,0.824633230979188,0.8099574610715359
bank_marketing,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.710403100001713,0.8854614722870837,0.8556903237756281,0.8854614722870837,0.8417121009336606,0.8868411352746037,0.8634270593218941,0.8868411352746037,0.8440779376732706,0.8861039439734612,0.8590651198013715,0.8861039439734612,0.8422208100676324
bank_marketing,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6927991999982623,0.8860759493670886,0.8587233965887644,0.8860759493670886,0.842847221805295,0.8886841135274604,0.8724232852967647,0.8886841135274604,0.846893538211952,0.8861039439734612,0.8599220722704383,0.8861039439734612,0.8416387760795032
bank_marketing,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6777063999979873,0.8864446356150916,0.8600835561370379,0.8864446356150916,0.8438270777573117,0.8875783265757464,0.8673083790243568,0.8875783265757464,0.8450937165809365,0.8868411352746037,0.8623284633039726,0.8868411352746037,0.8438134162901796
bank_marketing,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6743209999985993,0.8859530539510876,0.8572215511821971,0.8859530539510876,0.8435263036237353,0.8879469222263178,0.8713503088826056,0.8879469222263178,0.8447576901472057,0.8861039439734612,0.8599220722704383,0.8861039439734612,0.8416387760795032
bank_marketing,Bernoulli RBM + Regressão Logística,5,5,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.658298799997283,0.8850927860390807,0.8525058203655269,0.8850927860390807,0.843554634819402,0.8901584961297456,0.8768649752362829,0.8901584961297456,0.8499954978283178,0.8857353483228898,0.8566413934236724,0.8857353483228898,0.8419995419891216
bank_marketing,Bernoulli RBM + Regressão Logística,6,6,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.691025600001012,0.8863217401990906,0.8600393717277726,0.8863217401990906,0.8431862785004292,0.889421304828603,0.8778819563836271,0.889421304828603,0.8473572090201245,0.8842609657206045,0.8485789216060754,0.8842609657206045,0.8393729106069735
bank_marketing,Bernoulli RBM + Regressão Logística,7,7,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.673664199999621,0.8847240997910778,0.8508030191542201,0.8847240997910778,0.8435108976541633,0.8875783265757464,0.8653269645044013,0.8875783265757464,0.8461994969604728,0.8849981570217471,0.8534279359925383,0.8849981570217471,0.8398047840681345
bank_marketing,Bernoulli RBM + Regressão Logística,8,8,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.7017573000011907,0.8868133218630945,0.8647980275194156,0.8868133218630945,0.8427177949550466,0.8875783265757464,0.8716700103143962,0.8875783265757464,0.843385025532889,0.8864725396240324,0.8675396643268027,0.8864725396240324,0.8400645831815008
bank_marketing,Bernoulli RBM + Regressão Logística,9,9,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6998299000006227,0.8860759493670886,0.8597370230331848,0.8860759493670886,0.8420809162355423,0.888315517876889,0.8743506127516744,0.888315517876889,0.8449846158242783,0.8864725396240324,0.8627407067284122,0.8864725396240324,0.8418585688877738
bank_marketing,Bernoulli RBM + Regressão Logística,10,10,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.684169300002395,0.8866904264470935,0.8602331107816034,0.8866904264470935,0.8450918271665108,0.8890527091780317,0.8736033644174598,0.8890527091780317,0.8476741301462435,0.888315517876889,0.8690439293450464,0.888315517876889,0.8464056781018536
bank_marketing,Bernoulli RBM + Regressão Logística,11,11,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.687608899999759,0.8861988447830896,0.858625507253392,0.8861988447830896,0.8436766552061334,0.888315517876889,0.8688247850428286,0.888315517876889,0.8472080248492566,0.8861039439734612,0.8583476500411834,0.8861039439734612,0.8427959141161743
bank_marketing,Bernoulli RBM + Regressão Logística,12,12,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6769155000001774,0.8875506943591004,0.8634387302282535,0.8875506943591004,0.8469010597430513,0.8901584961297456,0.8755815930530269,0.8901584961297456,0.8505231600695405,0.8868411352746037,0.8623284633039726,0.8868411352746037,0.8438134162901796
bank_marketing,Bernoulli RBM + Regressão Logística,13,13,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6886268999987806,0.8864446356150916,0.861401401132607,0.8864446356150916,0.842879841661294,0.8875783265757464,0.8699798637175403,0.8875783265757464,0.8439614119683327,0.8872097309251751,0.8648383485386242,0.8872097309251751,0.8440382575763588
bank_marketing,Bernoulli RBM + Regressão Logística,14,14,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.654114800003299,0.8873049035270985,0.8634939920950984,0.8873049035270985,0.8456572853336318,0.8879469222263178,0.8686463109247202,0.8879469222263178,0.8458795881338855,0.8879469222263178,0.8689368260961005,0.8879469222263178,0.8450576153699773
bank_marketing,Bernoulli RBM + Regressão Logística,15,15,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6733596999984,0.8855843677030847,0.8568884553539061,0.8855843677030847,0.8413994962408736,0.8886841135274604,0.8738897619911479,0.8886841135274604,0.8463395904135919,0.8864725396240324,0.8656170795797832,0.8864725396240324,0.840669877725847
bank_marketing,Bernoulli RBM + Regressão Logística,16,16,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.681650399998034,0.8859530539510876,0.8579604579188945,0.8859530539510876,0.8427727306846949,0.8879469222263178,0.8698975675986688,0.8879469222263178,0.8453219718070595,0.8857353483228898,0.8580843213604752,0.8857353483228898,0.8408316764779541
bank_marketing,Bernoulli RBM + Regressão Logística,17,17,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6884815999983402,0.8861988447830896,0.858625507253392,0.8861988447830896,0.8436766552061334,0.8890527091780317,0.8750710184292824,0.8890527091780317,0.8471252743962684,0.8853667526723185,0.8543668367783943,0.8853667526723185,0.8417784119421688
bank_marketing,Bernoulli RBM + Regressão Logística,18,18,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.676624499999889,0.8873049035270985,0.86255347808421,0.8873049035270985,0.8463860076724201,0.888315517876889,0.8678644395919952,0.888315517876889,0.8477476842183009,0.8864725396240324,0.8599684618158411,0.8864725396240324,0.8435887332305682
bank_marketing,Bernoulli RBM + Regressão Logística,19,19,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6686555999986012,0.8866904264470935,0.8606417905398667,0.8866904264470935,0.8447233254454944,0.890527091780317,0.87931824665811,0.890527091780317,0.8502336085156081,0.8864725396240324,0.8627407067284122,0.8864725396240324,0.8418585688877738
bank_marketing,Bernoulli RBM + Regressão Logística,20,20,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6747194999989006,0.8855843677030847,0.8566703748188935,0.8855843677030847,0.841593049683688,0.888315517876889,0.8743506127516744,0.888315517876889,0.8449846158242783,0.8857353483228898,0.8590408834009093,0.8857353483228898,0.8402371020043644
bank_marketing,Bernoulli RBM + Regressão Logística,21,21,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",2.6760066999995615,0.8860759493670886,0.8585043190351521,0.8860759493670886,0.8430369035972674,0.888315517876889,0.8726514351924374,0.888315517876889,0.845550405920726,0.8853667526723185,0.8554201210864659,0.8853667526723185,0.8406137843389175
heart_disease,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}",0.04168559999743593,0.5580110497237569,0.35380520823236733,0.5580110497237569,0.41850846434902456,0.5737704918032787,0.3705780845556514,0.5737704918032787,0.43845007451564827,0.5409836065573771,0.2926632625638269,0.5409836065573771,0.37983955354028603
