dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}",1.4267730999999912,0.8118530315094984,0.7985180303618514,0.8118530315094984,0.8002960019901892,0.8194539249146757,0.8071516653547749,0.8194539249146757,0.8079623140938593,0.815080177413852,0.8013246401809696,0.815080177413852,0.8011657381396301
adult,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.1275810999977693,0.813331816630645,0.7996502500090173,0.813331816630645,0.8005327376772536,0.8174061433447098,0.8041837034701769,0.8174061433447098,0.803893918814838,0.8219037871033776,0.8094792916969882,0.8219037871033776,0.8079095896386781
adult,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.03159709999818,0.8177681719940849,0.8053449629268354,0.8177681719940849,0.806528091454648,0.8238907849829351,0.8120972791698482,0.8238907849829351,0.8117832255554251,0.8232685090412828,0.8112263968296598,0.8232685090412828,0.8104048402388276
adult,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.01, ""n_components"": 128, ""n_iter"": 20}",6.492379299997992,0.8187919463087249,0.8065786343146252,0.8187919463087249,0.8077302118549267,0.8228668941979522,0.8109359692362218,0.8228668941979522,0.8108997896671495,0.8249744114636642,0.8132437779617925,0.8249744114636642,0.8120204122498541
adult,Bernoulli RBM + Regressão Logística,1,1,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.754202799998893,0.8217495165510181,0.8103347528454881,0.8217495165510181,0.8116719402246643,0.8249146757679181,0.813675546487532,0.8249146757679181,0.8143075348616213,0.8239508700102354,0.812104813946634,0.8239508700102354,0.8115640568440742
adult,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}",1.3984456999969552,0.8086679558639518,0.7936594085639198,0.8086679558639518,0.7943365356330724,0.8167235494880546,0.8031890542181287,0.8167235494880546,0.8022472415435208,0.8154213578983283,0.8014332889383571,0.8154213578983283,0.7995741586833479
adult,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.1579968000005465,0.8141280855420316,0.8002913365559787,0.8141280855420316,0.8004597402539594,0.8232081911262799,0.8110712677538616,0.8232081911262799,0.8090200429700086,0.8222449675878539,0.8098775807016986,0.8222449675878539,0.807598692029827
adult,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.0223212000018975,0.8178819246957115,0.8055263797180569,0.8178819246957115,0.8067646385309089,0.8225255972696246,0.8105515855340908,0.8225255972696246,0.8106055391605207,0.8249744114636642,0.8132569620851408,0.8249744114636642,0.8121635700548684
adult,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.01, ""n_components"": 128, ""n_iter"": 20}",6.521467200000188,0.8203844841314981,0.8084382649562778,0.8203844841314981,0.8094655215875948,0.8235494880546075,0.811806612870628,0.8235494880546075,0.8119063693660908,0.827021494370522,0.8157053164392966,0.827021494370522,0.8143604873641681
adult,Bernoulli RBM + Regressão Logística,2,2,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.7761587999993935,0.8222045273575247,0.8109359364537346,0.8222045273575247,0.812327915266459,0.825938566552901,0.8150168958696351,0.825938566552901,0.8158527613260173,0.8263391334015694,0.8151947380213653,0.8263391334015694,0.8154181614692186
adult,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}",1.3833903999984614,0.8073029234444318,0.7931670985790128,0.8073029234444318,0.7953190146772099,0.8146757679180887,0.8014648194334908,0.8146757679180887,0.8025920641713754,0.8130330945069942,0.7990987485951442,0.8130330945069942,0.7997275547303334
adult,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.1298569999999017,0.810260493686725,0.7959717460222567,0.810260493686725,0.7971248944286345,0.8174061433447098,0.8041837034701769,0.8174061433447098,0.803893918814838,0.8167860798362334,0.8032509131634213,0.8167860798362334,0.8023126972034752
adult,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.037388400000054,0.8166306449778182,0.8036679571324669,0.8166306449778182,0.8044201636288949,0.8215017064846416,0.8092262804439181,0.8215017064846416,0.8090159974816002,0.8239508700102354,0.8119702924434843,0.8239508700102354,0.8102651083688148
adult,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.01, ""n_components"": 128, ""n_iter"": 20}",6.486332299999049,0.8198157206233648,0.8074975399980863,0.8198157206233648,0.8080993805009905,0.8215017064846416,0.8091673314936262,0.8215017064846416,0.8087285603139726,0.8287273967929034,0.8177581087804269,0.8287273967929034,0.815412954265785
adult,Bernoulli RBM + Regressão Logística,3,3,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.780512199999066,0.8223182800591514,0.8100499495792092,0.8223182800591514,0.8088627063075126,0.822184300341297,0.8098615705786526,0.822184300341297,0.8085854674589531,0.8297509382463323,0.8190738091247658,0.8297509382463323,0.8158687530712763
adult,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}",1.387965299996722,0.8115117734046183,0.7974222436902696,0.8115117734046183,0.798387515218557,0.821160409556314,0.8088058973326814,0.821160409556314,0.8085790715714936,0.8171272603207097,0.8035844826100413,0.8171272603207097,0.8019808293690337
adult,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.124199199999566,0.8173131611875782,0.8045027927326909,0.8173131611875782,0.8052437335780311,0.8245733788395905,0.8127976511499014,0.8245733788395905,0.8118065076671411,0.8212214261344251,0.8086629688223743,0.8212214261344251,0.8073234821419748
adult,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.041412599999603,0.8192469571152314,0.8070120708504974,0.8192469571152314,0.8079827509089288,0.821160409556314,0.808985928332869,0.821160409556314,0.8092894743678472,0.8256567724326168,0.8140730802031926,0.8256567724326168,0.812895875824635
adult,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.01, ""n_components"": 128, ""n_iter"": 20}",6.486971300000732,0.8186781936070981,0.8062183479938179,0.8186781936070981,0.8070288555492802,0.8208191126279863,0.8084874683165686,0.8208191126279863,0.8085716285752372,0.8273626748549983,0.8161011164600511,0.8273626748549983,0.8140862172740818
adult,Bernoulli RBM + Regressão Logística,4,4,"{""learning_rate"": 0.05, ""n_components"": 64, ""n_iter"": 20}",3.756787999998778,0.8247070867933114,0.8131251183610826,0.8247070867933114,0.8129193581572288,0.825938566552901,0.8144285272628791,0.825938566552901,0.8132710484635057,0.8229273285568065,0.8107452558289235,0.8229273285568065,0.8093834173119928
adult,Bernoulli RBM + Regressão Logística,5,5,"{""learning_rate"": 0.01, ""n_components"": 32, ""n_iter"": 10}",1.40769409999848,0.8108292571948584,0.7976915651485698,0.8108292571948584,0.7998525350253765,0.816382252559727,0.8036040925825804,0.816382252559727,0.8047660648001375,0.8161037188672808,0.8027721141471286,0.8161037188672808,0.8030908231709876
adult,Bernoulli RBM + Regressão Logística,5,5,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 10}",2.138882100000046,0.8141280855420316,0.8015638454122881,0.8141280855420316,0.80350457102023,0.8201365187713311,0.8078063793636965,0.8201365187713311,0.8082681946923208,0.8188331627430911,0.806051966374443,0.8188331627430911,0.8061589647793717
adult,Bernoulli RBM + Regressão Logística,5,5,"{""learning_rate"": 0.01, ""n_components"": 64, ""n_iter"": 20}",4.058814899999561,0.8183369355022182,0.8063462025303987,0.8183369355022182,0.8078863092108532,0.8242320819112628,0.8126066595720143,0.8242320819112628,0.8126340043008448,0.8256567724326168,0.8141193176546042,0.8256567724326168,0.8133198713179493
