dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),1,1,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9289610000269022,0.5066666666666667,0.2567111111111111,0.5066666666666667,0.34076696165191744,0.5062448812448812,0.3364947804841313,0.5062448812448812,0.34043134870597447,0.5061930596785751,0.4167641058827465,0.5061930596785751,0.3403503841025036
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),2,2,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.789909200015245,0.48,0.23040000000000002,0.48,0.3113513513513514,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),3,3,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7687764999864157,0.47333333333333333,0.22404444444444446,0.47333333333333333,0.30413273001508295,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),4,4,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9171914999897126,0.5466666666666666,0.2988444444444444,0.5466666666666666,0.3864367816091954,0.5062448812448812,0.4167306262115313,0.5062448812448812,0.34040835165889155,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),5,5,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.924984699988272,0.49666666666666665,0.24667777777777777,0.49666666666666665,0.3296362286562732,0.506961506961507,0.3596901466493429,0.506961506961507,0.34226220534152385,0.5069096120380796,0.35530606571843654,0.5069096120380796,0.34204783043848386
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),6,6,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.940305600001011,0.5,0.25,0.5,0.3333333333333333,0.5063472563472563,0.41675686074621154,0.5063472563472563,0.34063583808243836,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),7,7,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9238722999871243,0.51,0.2601,0.51,0.34450331125827816,0.506961506961507,0.3877551277366795,0.506961506961507,0.3421962035100888,0.5062954243013614,0.33653840780306343,0.5062954243013614,0.3408044509059527
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),8,8,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9119649000058416,0.5333333333333333,0.28444444444444444,0.5333333333333333,0.3710144927536232,0.5061425061425061,0.2562064656873707,0.5061425061425061,0.3402037319514038,0.5061930596785751,0.4167641058827465,0.5061930596785751,0.3403503841025036
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),9,9,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.768267499981448,0.49,0.2401,0.49,0.3222818791946309,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),10,10,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7667252999963239,0.51,0.2601,0.51,0.34450331125827816,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),11,11,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9437783999892417,0.5233333333333333,0.45130434782608686,0.5233333333333333,0.36311688311688317,0.5072686322686323,0.3669609090035669,0.5072686322686323,0.34278047533355105,0.5085474460026614,0.38128644809401624,0.5085474460026614,0.34565911417663014
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),12,12,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9306612999935169,0.5266666666666666,0.2773777777777777,0.5266666666666666,0.3633770014556041,0.5062448812448812,0.3364947804841313,0.5062448812448812,0.34043134870597447,0.5061930596785751,0.4167641058827465,0.5061930596785751,0.3403503841025036
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),13,13,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7510454999865033,0.52,0.27040000000000003,0.52,0.35578947368421054,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),14,14,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7716221000009682,0.5466666666666666,0.2988444444444444,0.5466666666666666,0.3864367816091954,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),15,15,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7886755999934394,0.48333333333333334,0.2336111111111111,0.48333333333333334,0.3149812734082397,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),16,16,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.934741099976236,0.51,0.42756967670011153,0.51,0.3480610040366138,0.5071662571662572,0.36690900759809697,0.5071662571662572,0.34271159366423387,0.5066025181697206,0.33669666266669857,0.5066025181697206,0.3417293241855838
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),17,17,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7756679999874905,0.54,0.2916,0.54,0.3787012987012987,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),18,18,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7596678999834694,0.5166666666666667,0.2669444444444445,0.5166666666666667,0.35201465201465204,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),19,19,"{""learning_rate"": 0.05, ""max_train_samples"": 300, ""n_epochs"": 25, ""n_membership_functions"": 2, ""pca_components"": 6}",0.9435174000100233,0.4633333333333333,0.21467777777777777,0.4633333333333333,0.2934092634776006,0.5077805077805078,0.33553203142835974,0.5077805077805078,0.34518904913658527,0.5073190705292251,0.58802825945739,0.5073190705292251,0.34486275177505177
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),20,20,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.747732099989662,0.5133333333333333,0.2635111111111111,0.5133333333333333,0.3482525697503671,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
adult,ANFIS (Adaptive Neuro-Fuzzy Inference System),21,21,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7575049000151921,0.5533333333333333,0.30617777777777777,0.5533333333333333,0.3942203147353362,0.5061425061425061,0.25618023652421684,0.5061425061425061,0.34018060771731246,0.5060906950557887,0.2561277916220513,0.5060906950557887,0.3401226665337891
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),1,1,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7000995999842416,0.8666666666666667,0.7511111111111112,0.8666666666666667,0.8047619047619048,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),2,2,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.733823399990797,0.88,0.7744,0.88,0.8238297872340425,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),3,3,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7123572000127751,0.85,0.7225,0.85,0.7810810810810812,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),4,4,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7019736999936868,0.89,0.7921,0.89,0.8382010582010582,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),5,5,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7050749999762047,0.8466666666666667,0.7168444444444445,0.8466666666666667,0.7763658243080627,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),6,6,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.7425078999949619,0.84,0.7055999999999999,0.84,0.7669565217391304,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),7,7,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.6986360999871977,0.8933333333333333,0.7980444444444444,0.8933333333333333,0.8430046948356807,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),8,8,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.699773100001039,0.88,0.7744,0.88,0.8238297872340425,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
bank_marketing,ANFIS (Adaptive Neuro-Fuzzy Inference System),9,9,"{""learning_rate"": 0.01, ""max_train_samples"": 300, ""n_epochs"": 10, ""n_membership_functions"": 2, ""pca_components"": 6}",0.701383799983887,0.8633333333333333,0.7453444444444444,0.8633333333333333,0.8000119260584376,0.8829904888299049,0.7796722033640744,0.8829904888299049,0.8281212337387478,0.8830034280659074,0.7796950539761439,0.8830034280659074,0.8281398136136093
