dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,Sistema Fuzzy de Mamdani,1,1,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",5.003024599980563,1.0,1.0,1.0,1.0,0.447993447993448,0.43855222657019144,0.447993447993448,0.4425517019006957,0.4341283652369741,0.42262778680275587,0.4341283652369741,0.4274112656397393
adult,Sistema Fuzzy de Mamdani,2,2,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",5.0501956999942195,1.0,1.0,1.0,1.0,0.4262899262899263,0.4373544944357007,0.4262899262899263,0.43063167674214714,0.43115979117616954,0.4402246377852048,0.43115979117616954,0.43468473127813523
adult,Sistema Fuzzy de Mamdani,3,3,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",4.9872317999834195,1.0,1.0,1.0,1.0,0.43622031122031124,0.439678129849458,0.43622031122031124,0.43753882393829324,0.4418057119459515,0.4417096086449791,0.4418057119459515,0.4416352862184451
adult,Sistema Fuzzy de Mamdani,4,4,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",3.5921018999943044,1.0,1.0,1.0,1.0,0.4308968058968059,0.42339081214929003,0.4308968058968059,0.42674227606187465,0.4448766506295424,0.4371181340970327,0.4448766506295424,0.44059049563148495
adult,Sistema Fuzzy de Mamdani,5,5,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",4.999840899981791,1.0,1.0,1.0,1.0,0.4464578214578215,0.442222568095541,0.4464578214578215,0.44389495148229297,0.44323881666496057,0.43541075573406895,0.44323881666496057,0.43866401167663577
adult,Sistema Fuzzy de Mamdani,6,6,"{""max_train_samples"": 300, ""n_membership_functions"": 5}",5.6275666000146884,1.0,1.0,1.0,1.0,0.42956592956592954,0.4349995430248526,0.42956592956592954,0.43209284044115026,0.42471081994062854,0.42985615925007553,0.42471081994062854,0.4270913438552337
adult,Sistema Fuzzy de Mamdani,7,7,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",2.5773897000181023,1.0,1.0,1.0,1.0,0.4390868140868141,0.42591270954787985,0.4390868140868141,0.43139581357177414,0.4441600982700379,0.43304869956126335,0.4441600982700379,0.4377657292838292
adult,Sistema Fuzzy de Mamdani,8,8,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",3.5639291999978013,1.0,1.0,1.0,1.0,0.44123669123669124,0.43500785061457053,0.44123669123669124,0.4375223791390937,0.4414986180775924,0.4326272350444205,0.4414986180775924,0.4363119692883266
adult,Sistema Fuzzy de Mamdani,9,9,"{""max_train_samples"": 500, ""n_membership_functions"": 3}",5.139545200014254,1.0,1.0,1.0,1.0,0.4345823095823096,0.42917341158131117,0.4345823095823096,0.43069803789089656,0.4443648275156106,0.43736752129054063,0.4443648275156106,0.43961531916403795
adult,Sistema Fuzzy de Mamdani,10,10,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",2.53840780002065,1.0,1.0,1.0,1.0,0.44502457002457,0.4328690041932082,0.44502457002457,0.4380680272237389,0.4440577336472515,0.43350054514681224,0.4440577336472515,0.43814422632882344
adult,Sistema Fuzzy de Mamdani,11,11,"{""max_train_samples"": 300, ""n_membership_functions"": 2}",2.625494299980346,1.0,1.0,1.0,1.0,0.45382882882882886,0.44279066426738894,0.45382882882882886,0.44580210805900117,0.43945132562186506,0.4298193518407651,0.43945132562186506,0.43290273549403246
adult,Sistema Fuzzy de Mamdani,12,12,"{""max_train_samples"": 300, ""n_membership_functions"": 3}",3.620180900004925,1.0,1.0,1.0,1.0,0.4528050778050778,0.4288696957137275,0.4528050778050778,0.43775331541217427,0.4483570478042788,0.42270382721597693,0.4483570478042788,0.43237226597900275
