dataset,param_name,param_value,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std,time_mean,time_std,n_seeds
adult,hidden_layer_sizes,"(50,)",0.4615610089217041,0.003363605746853485,0.4684264319697055,0.004468135012087879,14.363845915400816,3.5600641383925398,5
adult,hidden_layer_sizes,"(100,)",0.45665259084501136,0.005609372301967531,0.4641537962256247,0.005559527033806073,17.393824656799914,1.3387102423666795,5
adult,hidden_layer_sizes,"(150,)",0.4601934141467551,0.004182205886216707,0.46518634992582963,0.0037744519612961454,23.710362338200138,1.9932960278651517,5
adult,hidden_layer_sizes,"(200,)",0.4590850470024276,0.004299681671468389,0.4646934338593165,0.0055657658382079755,26.85664841100006,1.5846888585900307,5
adult,hidden_layer_sizes,"(250,)",0.46162472845440217,0.006385433709555975,0.4665163289647641,0.005920121267443118,36.76791800320025,8.740463652238386,5
adult,hidden_layer_sizes,"(100, 50)",0.4534272135422063,0.004259219951176725,0.45851719957689185,0.002947147223944535,23.712389975199766,1.716968945491763,5
adult,hidden_layer_sizes,"(150, 75)",0.45600047308099556,0.005261932091382711,0.46230145514814325,0.005915369297462262,33.02624311159998,1.4700758442495623,5
adult,hidden_layer_sizes,"(200, 100)",0.4565076298205349,0.004203719862997511,0.4632595734570665,0.004096899830987501,43.734109213199915,2.430780765689191,5
adult,activation,relu,0.45665259084501136,0.005609372301967531,0.4641537962256247,0.005559527033806073,16.432470980800282,1.0963312397544105,5
adult,activation,tanh,0.45295707971481897,0.0018636342737667544,0.45804922265099374,0.0028008215260698324,23.416798494400428,2.0740689063871685,5
adult,learning_rate_init,0.0001,0.45750763162825636,0.0025548539884096876,0.4648601687693241,0.001913388779082938,30.173855080599605,8.04698698091871,5
adult,learning_rate_init,0.001,0.45665259084501136,0.005609372301967531,0.4641537962256247,0.005559527033806073,17.203549113199916,0.726282093231036,5
adult,learning_rate_init,0.01,0.4490764605458347,0.004054346717901933,0.4563285084167987,0.0034082428319798953,15.277812926399928,0.4762000886330797,5
adult,learning_rate_init,0.1,0.44143249892407754,0.0031267860820150995,0.4467935875628454,0.0024546656207713965,48.35894317899947,57.81151436531315,5
adult,alpha,0.0,0.45781260933038836,0.005020512310714717,0.46487708556888785,0.00591426133094785,17.49272739740045,1.2296910086266266,5
adult,alpha,1e-05,0.4555401222475404,0.0029669514548808177,0.4628758990544653,0.0032460426433470833,16.41414996379972,0.3679524848985856,5
adult,alpha,0.0001,0.45665259084501136,0.005609372301967531,0.4641537962256247,0.005559527033806073,16.705373952799345,1.237121312824697,5
adult,alpha,0.001,0.4553912144022395,0.00345836220908655,0.463480954919573,0.004018155180054727,16.98495321720038,1.2988296864117048,5
adult,alpha,0.01,0.46098233211174666,0.00872805167437968,0.4674383725926153,0.006150399510328606,17.97719255639968,1.8232465907878497,5
