dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
adult,MLP (Perceptron Multicamadas) - Otimizado,1,1,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",19.48285459699946,0.5758403002900528,0.5562329311763003,0.5758403002900528,0.48152206353909205,0.5566134316134316,0.4883877030823912,0.5566134316134316,0.45982910044922104,0.5647456239123759,0.487540994410995,0.5647456239123759,0.46719897744381794
adult,MLP (Perceptron Multicamadas) - Otimizado,2,2,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",16.85636953899848,0.5715748165842006,0.5343170569274815,0.5715748165842006,0.4774526693884567,0.555999180999181,0.48727238491852676,0.555999180999181,0.4622095063048245,0.5623912375882895,0.4755148464344395,0.5623912375882895,0.4654648321725401
adult,MLP (Perceptron Multicamadas) - Otimizado,3,3,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",13.497531256000002,0.5712677017573793,0.5281144168631531,0.5712677017573793,0.47903698558316615,0.5562039312039312,0.47879248507492905,0.5562039312039312,0.4629936972816587,0.5624936022110758,0.48535720059502646,0.5624936022110758,0.46829539785376806
adult,MLP (Perceptron Multicamadas) - Otimizado,4,4,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",14.125476084000184,0.5710629585394984,0.5314498316168849,0.5710629585394984,0.47212958782532116,0.5557944307944308,0.46500308145877767,0.5557944307944308,0.4548876442476144,0.5637219776845123,0.4866296310220174,0.5637219776845123,0.46350569412290654
adult,MLP (Perceptron Multicamadas) - Otimizado,5,5,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",13.94406484800129,0.5710970824091453,0.5274239689099193,0.5710970824091453,0.4719854188115568,0.5591728091728092,0.4779546635750742,0.5591728091728092,0.45966533276557486,0.5676118333503941,0.49049743427402964,0.5676118333503941,0.4659270917941141
adult,MLP (Perceptron Multicamadas) - Otimizado,6,6,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",19.94558091500039,0.575635557072172,0.553549881593608,0.575635557072172,0.47826891906861496,0.5585585585585585,0.48677293712421693,0.5585585585585585,0.460123520315486,0.5623912375882895,0.479082707239885,0.5623912375882895,0.46355223470298734
adult,MLP (Perceptron Multicamadas) - Otimizado,7,7,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",23.482072786000572,0.5781607234260365,0.5584075187457771,0.5781607234260365,0.4886930292164273,0.5527231777231777,0.4743731190387251,0.5527231777231777,0.4630802994094745,0.5637219776845123,0.4903193100973904,0.5637219776845123,0.47214178687290964
adult,MLP (Perceptron Multicamadas) - Otimizado,8,8,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",18.191598647999854,0.5758403002900528,0.5497792146910278,0.5758403002900528,0.49087579677200355,0.5567158067158067,0.48451231851317456,0.5567158067158067,0.4688081945064865,0.5626983314566486,0.4847043015209161,0.5626983314566486,0.4725457453916411
adult,MLP (Perceptron Multicamadas) - Otimizado,9,9,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",13.930128879999756,0.5716430643234943,0.5248152093598629,0.5716430643234943,0.47650312186162974,0.5581490581490581,0.4770981644175375,0.5581490581490581,0.4624253209279097,0.5605486743781349,0.4743141849723108,0.5605486743781349,0.46214535487762815
adult,MLP (Perceptron Multicamadas) - Otimizado,10,10,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",23.639571761999832,0.5809930046067224,0.5628275413275005,0.5809930046067224,0.497810807890761,0.5496519246519247,0.4713781119800522,0.5496519246519247,0.46498031099078624,0.5618794144743576,0.4895503765155075,0.5618794144743576,0.47573645214478094
adult,MLP (Perceptron Multicamadas) - Otimizado,11,11,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",16.303541618000963,0.5750895751578229,0.5464362851204861,0.5750895751578229,0.48334285841550423,0.5576371826371826,0.48902896981681954,0.5576371826371826,0.4634645175906066,0.5651550824035213,0.492485050373176,0.5651550824035213,0.4700366857425803
adult,MLP (Perceptron Multicamadas) - Otimizado,12,12,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",14.893319478000194,0.5751578228971166,0.5401936532322433,0.5751578228971166,0.4846590167494827,0.5564086814086814,0.4876479919396725,0.5564086814086814,0.4672844514551652,0.5646432592895895,0.48854840601336524,0.5646432592895895,0.47200185204046313
adult,MLP (Perceptron Multicamadas) - Otimizado,13,13,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",17.116877108999688,0.5753284422453506,0.5477606867941004,0.5753284422453506,0.4837864911811149,0.5551801801801802,0.4743996425998956,0.5551801801801802,0.45965453342022766,0.5652574470263078,0.4898176558364799,0.5652574470263078,0.4678199988427454
adult,MLP (Perceptron Multicamadas) - Otimizado,14,14,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",13.106717602999197,0.570960586930558,0.530507390415225,0.570960586930558,0.47304258913669495,0.5570229320229321,0.46523948058910736,0.5570229320229321,0.4573772732668813,0.5641314361756576,0.4848570720634972,0.5641314361756576,0.46538557169424
adult,MLP (Perceptron Multicamadas) - Otimizado,15,15,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",13.688297759999841,0.5736563726326566,0.5415200984821554,0.5736563726326566,0.4799543594522324,0.5541564291564292,0.47714541260344323,0.5541564291564292,0.46075156068946604,0.5621865083427168,0.4889822661196485,0.5621865083427168,0.4663474606471994
adult,MLP (Perceptron Multicamadas) - Otimizado,16,16,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",22.434289094999258,0.583688790308821,0.5699038064030989,0.583688790308821,0.49947572874337354,0.5546683046683046,0.47652953097010414,0.5546683046683046,0.46593677576351333,0.5618794144743576,0.48763578724006407,0.5618794144743576,0.4735868823226987
adult,MLP (Perceptron Multicamadas) - Otimizado,17,17,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [50], ""learning_rate_init"": 0.0001}",20.933684638999694,0.5806176420406074,0.5614622896663901,0.5806176420406074,0.4896095892426179,0.5545659295659295,0.4714997504392268,0.5545659295659295,0.4633872351882597,0.5625959668338623,0.4821636220125618,0.5625959668338623,0.46837800307018196
