dataset,algorithm,run,random_state,params,elapsed_seconds,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,1,1,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",20.091570992000925,0.8873774238737743,0.8595976149669956,0.8873774238737743,0.8589506032613508,0.8882990488829905,0.8616254576967329,0.8882990488829905,0.8600195196165558,0.8897489771093664,0.8647747072023244,0.8897489771093664,0.8610542385318855
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,2,2,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.536713583001983,0.8877829388778294,0.860172660499,0.8877829388778294,0.8577060353287792,0.8882990488829905,0.8614317873279514,0.8882990488829905,0.8584187084013766,0.8905230565077961,0.8668858121100577,0.8905230565077961,0.8601129197440953
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,3,3,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.582104207998782,0.8896630538966306,0.8645751786105698,0.8896630538966306,0.8618131442098929,0.8881884538818845,0.8614410667063962,0.8881884538818845,0.8601817097418717,0.8936193741015149,0.8734095837144822,0.8936193741015149,0.8662239906218326
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,4,4,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.792439787001058,0.888778293887783,0.8626223191231428,0.888778293887783,0.8605046849200365,0.8886308338863084,0.8624568290279416,0.8886308338863084,0.8610913699773247,0.8910759703638174,0.8676876559978461,0.8910759703638174,0.8634403097690899
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,5,5,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",18.86751520100006,0.8878566688785667,0.8607782520568222,0.8878566688785667,0.8601308697891461,0.8881884538818845,0.8614653592147209,0.8881884538818845,0.8603013740184918,0.8916288842198385,0.8689462015893185,0.8916288842198385,0.8638392498632516
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,6,6,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.577742976998707,0.8887045638870457,0.8623382435608303,0.8887045638870457,0.858263769347166,0.8902897589028976,0.8662089085946016,0.8902897589028976,0.8603199071459401,0.8894172287957536,0.8643871432632614,0.8894172287957536,0.8575310493076382
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,7,7,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.642238111999177,0.8884465088844651,0.8618783200249465,0.8884465088844651,0.8599876781462272,0.8882990488829905,0.8615015440447298,0.8882990488829905,0.8591656347007357,0.8914077186774301,0.8685622205412886,0.8914077186774301,0.8629647223366852
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,8,8,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.414178813000035,0.8880409938804099,0.8609097517448707,0.8880409938804099,0.8590506004332855,0.8885202388852024,0.8619453984654886,0.8885202388852024,0.8585734523827881,0.8906336392790003,0.866902962874494,0.8906336392790003,0.8613159367973472
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,9,9,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.069028335998155,0.8875617488756175,0.8600970468705537,0.8875617488756175,0.859563469407264,0.8890732138907321,0.8634148155743814,0.8890732138907321,0.8617607666720493,0.8905230565077961,0.8664994872053431,0.8905230565077961,0.8623303021991833
bank_marketing,Bernoulli RBM + Regressão Logística - Otimizado,10,10,"{""learning_rate"": 0.05, ""logistic_C"": 10.0, ""n_components"": 128, ""n_iter"": 20}",19.23096534800061,0.8884465088844651,0.8617424718186448,0.8884465088844651,0.8587147359449855,0.8889626188896262,0.8629895017420678,0.8889626188896262,0.859508838622858,0.8900807254229791,0.8656108117700352,0.8900807254229791,0.8605528264888127
